event_type,fields
ESACC,R 100671659 100671693 35 554.3 512.5 346.0 269.2 5.37 262
SFIX,R 100671694
EFIX,R 100671694 100672038 345 340.2 258.8 3022
SSACC,R 100672039
ESACC,R 100672039 100672079 41 343.9 253.1 700.2 230.1 5.97 221
SFIX,R 100672080
EFIX,R 100672080 100672208 129 700.5 232.4 3049
SSACC,R 100672209
ESACC,R 100672209 100672282 74 699.7 230.7 -64.0 -103.7 13.59 295
SFIX,R 100672283
EFIX,R 100672283 100672428 146 -68.7 -106.8 3085
SSACC,R 100672429
ESACC,R 100672429 100672491 63 -70.4 -105.3 659.4 258.8 13.29 335
SFIX,R 100672492
EFIX,R 100672492 100672630 139 672.6 279.1 3192
SSACC,R 100672631
ESACC,R 100672631 100672647 17 671.9 280.9 735.8 264.8 1.12 95
SFIX,R 100672648
EFIX,R 100672648 100673376 729 760.1 264.7 3038
SSACC,R 100673377
ESACC,R 100673377 100673410 34 771.3 263.3 447.9 271.7 5.44 293
SFIX,R 100673411
EFIX,R 100673411 100673568 158 444.7 273.8 3306
SSACC,R 100673569
ESACC,R 100673569 100673596 28 443.3 275.3 636.0 278.9 3.23 219
SFIX,R 100673597
EFIX,R 100673597 100673743 147 639.7 279.0 3175
SSACC,R 100673744
ESACC,R 100673744 100673773 30 638.5 282.7 406.6 282.5 3.88 216
SFIX,R 100673774
EFIX,R 100673774 100674085 312 387.8 280.6 3297
SSACC,R 100674086
ESACC,R 100674086 100674121 36 388.8 279.9 746.1 263.6 6.00 296
SFIX,R 100674122
EFIX,R 100674122 100674875 754 757.7 268.0 2775
SSACC,R 100674876
ESACC,R 100674876 100674886 11 784.9 267.7 809.3 284.4 0.50 53
SFIX,R 100674887
EFIX,R 100674887 100675499 613 817.6 294.0 2986
SSACC,R 100675500
ESACC,R 100675500 100675509 10 817.2 293.2 801.9 315.2 0.46 54
SFIX,R 100675510
EFIX,R 100675510 100676154 645 799.2 313.2 3278
SSACC,R 100676155
ESACC,R 100676155 100676164 10 799.0 311.0 802.3 286.2 0.43 45
SFIX,R 100676165
EFIX,R 100676165 100676800 636 798.9 277.8 3470
SSACC,R 100676801
ESACC,R 100676801 100676807 7 799.3 275.1 812.8 264.8 0.29 42
SFIX,R 100676808
EFIX,R 100676808 100677061 254 805.8 242.8 3621
SSACC,R 100677062
SBLINK,R 100677083
EBLINK,R 100677083 100677185 103
ESACC,R 100677062 100677214 153 803.0 239.6 428.0 552.4 8.23 625
SFIX,R 100677215
EFIX,R 100677215 100677392 178 438.8 501.3 4122
SSACC,R 100677393
ESACC,R 100677393 100677419 27 438.2 501.8 290.5 608.1 3.01 179
SFIX,R 100677420
EFIX,R 100677420 100677618 199 276.9 621.0 3938
SSACC,R 100677619
SBLINK,R 100677633
EBLINK,R 100677633 100677749 117
ESACC,R 100677619 100677792 174 274.4 623.5 677.6 358.5 8.03 287
SFIX,R 100677793
EFIX,R 100677793 100677928 136 701.4 244.7 3608
SSACC,R 100677929
ESACC,R 100677929 100677943 15 701.0 242.1 728.0 208.6 0.73 57
SFIX,R 100677944
EFIX,R 100677944 100678216 273 735.9 214.7 3461
SSACC,R 100678217
ESACC,R 100678217 100678259 43 736.1 217.8 301.6 -36.8 8.43 326
SFIX,R 100678260
EFIX,R 100678260 100679204 945 273.1 -42.6 3233
SSACC,R 100679205
SBLINK,R 100679229
EBLINK,R 100679229 100679351 123
ESACC,R 100679205 100679396 192 269.0 -40.6 692.9 276.9 8.86 677
SFIX,R 100679397
EFIX,R 100679397 100679813 417 703.3 203.0 3124
SSACC,R 100679814
ESACC,R 100679814 100679834 21 702.9 208.2 779.4 216.3 1.31 82
SFIX,R 100679835
EFIX,R 100679835 100680051 217 804.4 216.0 3134
SSACC,R 100680052
ESACC,R 100680052 100680078 27 804.6 214.1 724.6 97.2 2.42 123
SFIX,R 100680079
EFIX,R 100680079 100680428 350 689.8 48.3 3367
SSACC,R 100680429
ESACC,R 100680429 100680453 25 684.9 46.4 604.8 32.3 1.37 66
SFIX,R 100680454
EFIX,R 100680454 100681498 1045 519.9 30.4 3404
SSACC,R 100681499
SBLINK,R 100681538
EBLINK,R 100681538 100681681 144
ESACC,R 100681499 100681721 223 516.5 30.6 189.8 -68.1 5.62 705
SFIX,R 100681722
EFIX,R 100681722 100682310 589 183.5 -65.7 3140
SSACC,R 100682311
ESACC,R 100682311 100682359 49 180.0 -67.9 495.6 122.1 6.09 181
SFIX,R 100682360
EFIX,R 100682360 100682729 370 524.8 159.1 3466
SSACC,R 100682730
ESACC,R 100682730 100682758 29 526.2 161.1 734.9 242.7 3.79 221
SFIX,R 100682759
EFIX,R 100682759 100682977 219 741.2 246.2 3279
SSACC,R 100682978
ESACC,R 100682978 100683019 42 741.2 247.0 571.5 -42.0 5.70 208
SFIX,R 100683020
EFIX,R 100683020 100684025 1006 565.5 -39.5 3214
SSACC,R 100684026
ESACC,R 100684026 100684055 30 566.5 -38.2 740.2 76.5 3.52 166
SFIX,R 100684056
EFIX,R 100684056 100684643 588 835.5 153.8 3015
SSACC,R 100684644
ESACC,R 100684644 100684670 27 837.8 154.5 1014.8 178.6 3.04 200
SFIX,R 100684671
EFIX,R 100684671 100684864 194 1017.5 163.0 3266
SSACC,R 100684865
ESACC,R 100684865 100684890 26 1014.2 159.8 874.9 182.6 2.41 133
SFIX,R 100684891
EFIX,R 100684891 100685136 246 825.2 185.9 3298
SSACC,R 100685137
ESACC,R 100685137 100685163 27 818.5 189.8 670.6 236.1 2.63 156
SFIX,R 100685164
EFIX,R 100685164 100685248 85 668.1 238.5 3479
SSACC,R 100685249
ESACC,R 100685249 100685260 12 670.9 237.4 697.1 225.4 0.49 51
SFIX,R 100685261
EFIX,R 100685261 100685647 387 714.5 204.7 3364
SSACC,R 100685648
ESACC,R 100685648 100685673 26 713.9 207.5 667.3 79.8 2.32 130
SFIX,R 100685674
EFIX,R 100685674 100686140 467 627.5 23.4 3346
SSACC,R 100686141
ESACC,R 100686141 100686164 24 625.5 22.5 649.1 -90.0 1.95 119
SFIX,R 100686165
EFIX,R 100686165 100687105 941 657.1 -149.8 3103
SSACC,R 100687106
ESACC,R 100687106 100687131 26 652.7 -152.8 541.5 -279.5 2.82 180
SFIX,R 100687132
EFIX,R 100687132 100687596 465 523.7 -286.9 3041
SSACC,R 100687597
ESACC,R 100687597 100687635 39 523.2 -288.0 338.5 -21.8 5.40 214
SFIX,R 100687636
EFIX,R 100687636 100687756 121 312.6 6.6 3458
SSACC,R 100687757
ESACC,R 100687757 100687768 12 307.1 7.3 277.4 20.9 0.54 51
SFIX,R 100687769
EFIX,R 100687769 100688675 907 271.6 29.6 3373
SSACC,R 100688676
SBLINK,R 100688700
EBLINK,R 100688700 100688890 191
ESACC,R 100688676 100688937 262 270.1 28.7 531.8 184.4 5.07 846
SFIX,R 100688938
EFIX,R 100688938 100689293 356 537.1 132.5 3303
SSACC,R 100689294
ESACC,R 100689294 100689324 31 536.4 134.1 394.4 114.4 2.39 92
SFIX,R 100689325
EFIX,R 100689325 100690121 797 326.7 98.3 3592
SSACC,R 100690122
ESACC,R 100690122 100690132 11 287.2 86.5 264.6 87.6 0.37 39
SFIX,R 100690133
EFIX,R 100690133 100691353 1221 245.8 90.8 3523
SSACC,R 100691354
ESACC,R 100691354 100691373 20 245.4 95.3 226.2 187.8 1.58 115
SFIX,R 100691374
EFIX,R 100691374 100691921 548 222.9 201.0 3587
SSACC,R 100691922
ESACC,R 100691922 100691930 9 221.5 195.1 221.7 179.1 0.27 34
SFIX,R 100691931
EFIX,R 100691931 100692344 414 222.0 159.0 3620
SSACC,R 100692345
ESACC,R 100692345 100692374 30 222.2 157.1 429.0 34.4 3.98 229
SFIX,R 100692375
EFIX,R 100692375 100693299 925 420.9 36.0 3303
SSACC,R 100693300
ESACC,R 100693300 100693329 30 419.8 37.2 601.8 189.5 4.00 201
SFIX,R 100693330
EFIX,R 100693330 100694172 843 648.8 245.4 3344
SSACC,R 100694173
SBLINK,R 100694227
EBLINK,R 100694227 100694389 163
ESACC,R 100694173 100694444 272 648.4 242.4 944.2 173.0 5.16 645
SFIX,R 100694445
EFIX,R 100694445 100695157 713 966.5 59.3 3132
SSACC,R 100695158
ESACC,R 100695158 100695189 32 964.2 57.5 961.5 -203.4 4.44 233
SFIX,R 100695190
EFIX,R 100695190 100695550 361 940.4 -232.7 2803
SSACC,R 100695551
ESACC,R 100695551 100695576 26 937.1 -229.3 842.1 -179.0 1.82 82
SFIX,R 100695577
EFIX,R 100695577 100696459 883 774.8 -140.3 2998
SSACC,R 100696460
ESACC,R 100696460 100696490 31 773.8 -140.2 878.4 -20.9 2.70 115
SFIX,R 100696491
EFIX,R 100696491 100696869 379 952.5 58.0 2823
SSACC,R 100696870
ESACC,R 100696870 100696902 33 954.1 67.2 833.2 161.2 2.61 110
SFIX,R 100696903
EFIX,R 100696903 100697060 158 747.8 214.4 3162
SSACC,R 100697061
ESACC,R 100697061 100697090 30 739.0 220.1 578.2 39.4 4.11 251
SFIX,R 100697091
EFIX,R 100697091 100698754 1664 564.5 36.0 3313
SSACC,R 100698755
SBLINK,R 100698819
EBLINK,R 100698819 100698948 130
ESACC,R 100698755 100698996 242 564.7 35.3 901.3 287.7 7.14 800
SFIX,R 100698997
EFIX,R 100698997 100699795 799 928.8 155.1 3048
SSACC,R 100699796
ESACC,R 100699796 100699853 58 925.1 144.0 668.9 2.1 4.98 110
SFIX,R 100699854
EFIX,R 100699854 100700140 287 610.6 -25.9 3422
SSACC,R 100700141
ESACC,R 100700141 100700167 27 608.4 -26.7 730.6 -69.2 2.19 104
SFIX,R 100700168
EFIX,R 100700168 100700457 290 810.8 -111.2 3067
SSACC,R 100700458
ESACC,R 100700458 100700500 43 814.2 -109.2 670.0 201.7 5.84 196
SFIX,R 100700501
EFIX,R 100700501 100700836 336 642.6 224.1 3395
SSACC,R 100700837
ESACC,R 100700837 100700848 12 646.7 225.2 674.5 213.9 0.51 51
SFIX,R 100700849
EFIX,R 100700849 100701792 944 680.6 214.3 3488
SSACC,R 100701793
ESACC,R 100701793 100701812 20 678.1 212.0 729.3 284.0 1.51 114
SFIX,R 100701813
EFIX,R 100701813 100702114 302 731.6 286.0 3460
SSACC,R 100702115
ESACC,R 100702115 100702127 13 735.9 282.7 757.9 266.3 0.47 40
SFIX,R 100702128
EFIX,R 100702128 100702959 832 766.9 257.7 3391
SSACC,R 100702960
SBLINK,R 100702979
EBLINK,R 100702979 100703117 139
ESACC,R 100702960 100703158 199 766.5 259.2 153.8 -30.7 11.24 580
SFIX,R 100703159
EFIX,R 100703159 100703414 256 153.4 -33.8 3343
SSACC,R 100703415
ESACC,R 100703415 100703450 36 153.4 -32.0 539.0 7.0 6.36 315
SFIX,R 100703451
