Time,Gaze_Target_X,Gaze_Target_Y
14.793610,-999.000000,-999.000000
14.811578,-999.000000,-999.000000
14.832905,-999.000000,-999.000000
14.851315,-999.000000,-999.000000
14.864464,-999.000000,-999.000000
14.891422,-999.000000,-999.000000
14.903986,-999.000000,-999.000000
14.934108,-999.000000,-999.000000
14.953443,-999.000000,-999.000000
14.972336,-999.000000,-999.000000
14.991501,-999.000000,-999.000000
15.006460,-999.000000,-999.000000
15.024265,-999.000000,-999.000000
15.055686,-999.000000,-999.000000
15.071874,-999.000000,-999.000000
15.095995,-999.000000,-999.000000
15.104674,-999.000000,-999.000000
15.135108,-999.000000,-999.000000
15.155439,-999.000000,-999.000000
15.172663,-999.000000,-999.000000
15.195039,-999.000000,-999.000000
15.205342,-999.000000,-999.000000
15.223495,-999.000000,-999.000000
15.247060,-999.000000,-999.000000
15.273883,-999.000000,-999.000000
15.291183,-999.000000,-999.000000
15.314760,-999.000000,-999.000000
15.325090,-999.000000,-999.000000
15.356114,-999.000000,-999.000000
15.374495,-999.000000,-999.000000
15.393658,-999.000000,-999.000000
15.412386,-999.000000,-999.000000
15.435403,-999.000000,-999.000000
15.445823,-999.000000,-999.000000
15.463784,-999.000000,-999.000000
15.491322,-999.000000,-999.000000
15.504803,-999.000000,-999.000000
15.531736,-999.000000,-999.000000
15.551530,-999.000000,-999.000000
15.573599,-999.000000,-999.000000
15.592285,-999.000000,-999.000000
15.605657,-999.000000,-999.000000
15.625276,-999.000000,-999.000000
15.655701,-999.000000,-999.000000
15.665432,-999.000000,-999.000000
15.693258,-999.000000,-999.000000
15.711374,-999.000000,-999.000000
15.733724,-999.000000,-999.000000
15.751589,-999.000000,-999.000000
15.775628,-999.000000,-999.000000
15.785457,-999.000000,-999.000000
15.811712,-999.000000,-999.000000
15.824855,-999.000000,-999.000000
15.853785,-999.000000,-999.000000
15.863805,-999.000000,-999.000000
15.892856,-999.000000,-999.000000
15.914987,-999.000000,-999.000000
15.924199,-999.000000,-999.000000
15.953261,-999.000000,-999.000000
15.972733,-999.000000,-999.000000
15.991093,-999.000000,-999.000000
16.006173,-999.000000,-999.000000
16.035084,-999.000000,-999.000000
16.045552,-999.000000,-999.000000
16.072785,-999.000000,-999.000000
16.091351,-999.000000,-999.000000
16.112349,-999.000000,-999.000000
16.132732,-999.000000,-999.000000
16.151709,-999.000000,-999.000000
16.172366,-999.000000,-999.000000
16.194933,-999.000000,-999.000000
16.204893,-999.000000,-999.000000
16.232071,-999.000000,-999.000000
16.255136,-999.000000,-999.000000
16.264753,-999.000000,-999.000000
16.293620,-999.000000,-999.000000
16.311841,-999.000000,-999.000000
16.334683,-999.000000,-999.000000
16.344946,-999.000000,-999.000000
16.365809,-999.000000,-999.000000
16.384440,-999.000000,-999.000000
16.404248,-999.000000,-999.000000
16.432168,-999.000000,-999.000000
16.453534,-999.000000,-999.000000
16.472154,-999.000000,-999.000000
16.485024,-999.000000,-999.000000
16.511568,-999.000000,-999.000000
16.536248,-999.000000,-999.000000
16.553776,-999.000000,-999.000000
16.572228,-999.000000,-999.000000
16.585010,-999.000000,-999.000000
16.603607,-999.000000,-999.000000
16.626581,-999.000000,-999.000000
16.645284,-999.000000,-999.000000
16.665490,-999.000000,-999.000000
16.683852,-999.000000,-999.000000
16.716145,-999.000000,-999.000000
16.725007,-999.000000,-999.000000
16.754708,-999.000000,-999.000000
16.772399,-999.000000,-999.000000
16.792234,-999.000000,-999.000000
16.805815,-999.000000,-999.000000
