tracker_time_ms,message
100875256,!V TRIAL_VAR Stim_Orientation_deg 0.0
100875256,!V TRIAL_VAR Gap_Duration_ms 100.0
100875256,!V TRIAL_VAR Stim_Duration_ms 200.0
100875256,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
100875257,!V TRIAL_VAR Condition_ID C000005
100875257,!V TRIAL_VAR Is_Control False
100875257,!V TRIAL_VAR Stim_Color_Name Gray
100875257,!V TRIAL_VAR Stim_Intensity_Level 60
100875257,!V TRIAL_VAR Stim_Pos_X_deg 0.0
100875257,!V TRIAL_VAR Stim_Pos_Y_deg -15.0
100875263,FIX_ON TRIAL 11
100875710,GAZE_ACQUIRED TRIAL 11
100876209,FIX_OFF TRIAL 11
100876715,!V TRIAL_VAR Status Break_1
100876715,!V TRIAL_VAR Subject_ID Monkey_H18
100876715,TRIAL_RESULT Break_1
100879787,TRIALID 12
100879787,!V TRIAL_VAR Subject_ID Monkey_H18
100879787,!V TRIAL_VAR Planned_Fixation_Duration_ms 519.7746067990759
100879787,!V TRIAL_VAR Fixation_Pos_X_deg 0.0
100879787,!V TRIAL_VAR Fixation_Pos_Y_deg 0.0
100879787,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
100879787,!V TRIAL_VAR Fix_Window_Radius_deg 2.5
100879787,!V TRIAL_VAR Stim_Pos_X_deg 0.0
100879787,!V TRIAL_VAR Stim_Pos_Y_deg -15.0
100879787,!V TRIAL_VAR Stim_Window_Radius_deg 3.0
100879787,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
100879787,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
100879787,!V TRIAL_VAR Stim_Orientation_deg 0.0
100879787,!V TRIAL_VAR Gap_Duration_ms 100.0
100879787,!V TRIAL_VAR Stim_Duration_ms 200.0
100879787,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
100879788,!V TRIAL_VAR Condition_ID C000005
100879788,!V TRIAL_VAR Is_Control False
100879788,!V TRIAL_VAR Stim_Color_Name Gray
100879788,!V TRIAL_VAR Stim_Intensity_Level 60
100879788,!V TRIAL_VAR Stim_Pos_X_deg 0.0
100879788,!V TRIAL_VAR Stim_Pos_Y_deg -15.0
100879794,FIX_ON TRIAL 12
100880272,GAZE_ACQUIRED TRIAL 12
100880649,FIX_OFF TRIAL 12
100880759,STIM_ON TRIAL 12
100880971,STIM_OFF TRIAL 12
100881467,STIM_WINDOW_END TRIAL 12
100881472,!V TRIAL_VAR Status nofix_2
100881472,!V TRIAL_VAR Subject_ID Monkey_H18
100881472,TRIAL_RESULT nofix_2
100884541,TRIALID 13
100884541,!V TRIAL_VAR Subject_ID Monkey_H18
100884541,!V TRIAL_VAR Planned_Fixation_Duration_ms 445.11048937880605
100884541,!V TRIAL_VAR Fixation_Pos_X_deg 0.0
100884541,!V TRIAL_VAR Fixation_Pos_Y_deg 0.0
100884541,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
100884541,!V TRIAL_VAR Fix_Window_Radius_deg 2.5
100884541,!V TRIAL_VAR Stim_Pos_X_deg 0.0
100884541,!V TRIAL_VAR Stim_Pos_Y_deg -15.0
100884541,!V TRIAL_VAR Stim_Window_Radius_deg 3.0
100884541,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
100884541,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
100884541,!V TRIAL_VAR Stim_Orientation_deg 0.0
100884541,!V TRIAL_VAR Gap_Duration_ms 100.0
100884541,!V TRIAL_VAR Stim_Duration_ms 200.0
100884541,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
100884541,!V TRIAL_VAR Condition_ID C000005
100884548,ERROR MESSAGES LOST 5
100884548,FIX_ON TRIAL 13
100886570,FIX_OFF TRIAL 13
100886576,!V TRIAL_VAR Status nofix_1
100886576,!V TRIAL_VAR Subject_ID Monkey_H18
100886576,TRIAL_RESULT nofix_1
100889645,TRIALID 14
100889645,!V TRIAL_VAR Subject_ID Monkey_H18
100889645,!V TRIAL_VAR Planned_Fixation_Duration_ms 457.553075357546
100889645,!V TRIAL_VAR Fixation_Pos_X_deg 0.0
100889645,!V TRIAL_VAR Fixation_Pos_Y_deg 0.0
100889645,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
100889645,!V TRIAL_VAR Fix_Window_Radius_deg 2.5
100889645,!V TRIAL_VAR Stim_Pos_X_deg 0.0
100889645,!V TRIAL_VAR Stim_Pos_Y_deg -15.0
100889645,!V TRIAL_VAR Stim_Window_Radius_deg 3.0
100889646,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
100889646,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
100889646,!V TRIAL_VAR Stim_Orientation_deg 0.0
100889646,!V TRIAL_VAR Gap_Duration_ms 100.0
100889646,!V TRIAL_VAR Stim_Duration_ms 200.0
100889646,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
100889646,!V TRIAL_VAR Condition_ID C000005
100889647,!V TRIAL_VAR Is_Control False
100889647,!V TRIAL_VAR Stim_Color_Name Gray
100889647,!V TRIAL_VAR Stim_Intensity_Level 60
100889647,!V TRIAL_VAR Stim_Pos_X_deg 0.0
100889647,!V TRIAL_VAR Stim_Pos_Y_deg -15.0
100889651,FIX_ON TRIAL 14
100891660,FIX_OFF TRIAL 14
100891664,!V TRIAL_VAR Status nofix_1
100891664,!V TRIAL_VAR Subject_ID Monkey_H18
100891664,TRIAL_RESULT nofix_1
100894735,TRIALID 15
100894735,!V TRIAL_VAR Subject_ID Monkey_H18
100894735,!V TRIAL_VAR Planned_Fixation_Duration_ms 429.60352457935795
100894735,!V TRIAL_VAR Fixation_Pos_X_deg 0.0
100894735,!V TRIAL_VAR Fixation_Pos_Y_deg 0.0
100894735,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
100894735,!V TRIAL_VAR Fix_Window_Radius_deg 2.5
100894735,!V TRIAL_VAR Stim_Pos_X_deg 0.0
100894735,!V TRIAL_VAR Stim_Pos_Y_deg -15.0
100894735,!V TRIAL_VAR Stim_Window_Radius_deg 3.0
100894735,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
100894735,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
100894735,!V TRIAL_VAR Stim_Orientation_deg 0.0
100894735,!V TRIAL_VAR Gap_Duration_ms 100.0
100894735,!V TRIAL_VAR Stim_Duration_ms 200.0
100894735,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
100894735,!V TRIAL_VAR Condition_ID C000005
100894742,ERROR MESSAGES LOST 5
100894742,FIX_ON TRIAL 15
100896757,FIX_OFF TRIAL 15
100896761,!V TRIAL_VAR Status nofix_1
100896761,!V TRIAL_VAR Subject_ID Monkey_H18
100896761,TRIAL_RESULT nofix_1
100899826,TRIALID 16
100899826,!V TRIAL_VAR Subject_ID Monkey_H18
100899826,!V TRIAL_VAR Planned_Fixation_Duration_ms 454.1998043601719
100899826,!V TRIAL_VAR Fixation_Pos_X_deg 0.0
100899826,!V TRIAL_VAR Fixation_Pos_Y_deg 0.0
100899826,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
100899826,!V TRIAL_VAR Fix_Window_Radius_deg 2.5
100899826,!V TRIAL_VAR Stim_Pos_X_deg 0.0
100899826,!V TRIAL_VAR Stim_Pos_Y_deg -15.0
100899826,!V TRIAL_VAR Stim_Window_Radius_deg 3.0
100899826,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
100899826,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
100899826,!V TRIAL_VAR Stim_Orientation_deg 0.0
100899826,!V TRIAL_VAR Gap_Duration_ms 100.0
100899826,!V TRIAL_VAR Stim_Duration_ms 200.0
100899826,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
100899827,!V TRIAL_VAR Condition_ID C000005
100899827,!V TRIAL_VAR Is_Control False
100899827,!V TRIAL_VAR Stim_Color_Name Gray
100899827,!V TRIAL_VAR Stim_Intensity_Level 60
100899827,!V TRIAL_VAR Stim_Pos_X_deg 0.0
100899827,!V TRIAL_VAR Stim_Pos_Y_deg -15.0
100899832,FIX_ON TRIAL 16
100901847,FIX_OFF TRIAL 16
100901850,!V TRIAL_VAR Status nofix_1
100901850,!V TRIAL_VAR Subject_ID Monkey_H18
100901850,TRIAL_RESULT nofix_1
100904920,TRIALID 17
100904921,!V TRIAL_VAR Subject_ID Monkey_H18
100904921,!V TRIAL_VAR Planned_Fixation_Duration_ms 679.6015617395946
100904921,!V TRIAL_VAR Fixation_Pos_X_deg 0.0
100904921,!V TRIAL_VAR Fixation_Pos_Y_deg 0.0
100904921,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
100904921,!V TRIAL_VAR Fix_Window_Radius_deg 2.5
100904921,!V TRIAL_VAR Stim_Pos_X_deg 0.0
100904921,!V TRIAL_VAR Stim_Pos_Y_deg -15.0
100904921,!V TRIAL_VAR Stim_Window_Radius_deg 3.0
100904921,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
100904921,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
100904921,!V TRIAL_VAR Stim_Orientation_deg 0.0
