event_type,fields
SSACC,R 187878413
SBLINK,R 187878459
EBLINK,R 187878459 187878589 131
ESACC,R 187878413 187878642 230 761.9 200.2 1545.9 836.7 16.82 1384
SFIX,R 187878643
EFIX,R 187878643 187878987 345 1532.0 868.0 2470
SSACC,R 187878988
ESACC,R 187878988 187879027 40 1529.0 868.3 826.1 644.8 12.21 697
SFIX,R 187879028
EFIX,R 187879028 187879178 151 809.6 643.0 2791
SSACC,R 187879179
ESACC,R 187879179 187879185 7 809.9 639.8 795.9 621.4 0.39 52
SFIX,R 187879186
EFIX,R 187879186 187879954 769 782.8 624.2 2543
SSACC,R 187879955
ESACC,R 187879955 187880019 65 784.5 628.7 780.0 1591.1 15.06 417
SFIX,R 187880020
EFIX,R 187880020 187880738 719 780.1 1606.1 2947
SSACC,R 187880739
ESACC,R 187880739 187880822 84 784.8 1584.3 949.7 664.4 14.64 275
SFIX,R 187880823
EFIX,R 187880823 187881331 509 943.9 659.5 2832
SSACC,R 187881332
ESACC,R 187881332 187881409 78 934.8 672.6 1448.2 1284.1 12.93 415
SFIX,R 187881410
EFIX,R 187881410 187882149 740 1460.8 1277.6 2634
SSACC,R 187882150
ESACC,R 187882150 187882207 58 1466.6 1257.1 1508.3 963.7 4.68 131
SFIX,R 187882208
EFIX,R 187882208 187882454 247 1561.9 886.6 2799
SSACC,R 187882455
SBLINK,R 187882482
EBLINK,R 187882482 187882690 209
ESACC,R 187882455 187882765 311 1559.9 885.7 2130.3 415.0 11.75 962
SFIX,R 187882766
EFIX,R 187882766 187882892 127 2111.9 485.6 2238
SSACC,R 187882893
ESACC,R 187882893 187882947 55 2106.6 513.3 1116.8 266.4 16.42 570
SFIX,R 187882948
EFIX,R 187882948 187883059 112 1106.9 269.2 2541
SSACC,R 187883060
ESACC,R 187883060 187883085 26 1103.5 274.2 824.5 222.9 4.83 425
SFIX,R 187883086
EFIX,R 187883086 187883670 585 785.6 220.9 2501
SSACC,R 187883671
ESACC,R 187883671 187883701 31 776.4 214.0 1156.3 426.2 7.40 536
SFIX,R 187883702
EFIX,R 187883702 187884775 1074 1186.9 427.6 2486
SSACC,R 187884776
ESACC,R 187884776 187884836 61 1189.6 428.6 1649.3 780.5 9.60 240
SFIX,R 187884837
EFIX,R 187884837 187885531 695 1675.3 807.4 2514
SSACC,R 187885532
ESACC,R 187885532 187885554 23 1673.0 804.6 1761.0 770.2 1.52 105
SFIX,R 187885555
EFIX,R 187885555 187886029 475 1791.4 759.0 2683
SSACC,R 187886030
ESACC,R 187886030 187886056 27 1794.9 762.9 1930.3 1005.0 4.40 341
SFIX,R 187886057
EFIX,R 187886057 187886410 354 1928.3 1011.9 2708
SSACC,R 187886411
SBLINK,R 187886432
EBLINK,R 187886432 187886585 154
ESACC,R 187886411 187886652 242 1927.4 1020.3 1833.8 682.3 5.58 771
SFIX,R 187886653
EFIX,R 187886653 187887325 673 1813.1 756.4 2760
SSACC,R 187887326
ESACC,R 187887326 187887385 60 1818.1 762.4 2073.1 111.0 11.30 285
SFIX,R 187887386
EFIX,R 187887386 187888034 649 2068.7 85.4 2502
SSACC,R 187888035
ESACC,R 187888035 187888102 68 2063.2 84.4 1883.5 509.7 7.50 162
SFIX,R 187888103
EFIX,R 187888103 187888316 214 1878.4 511.3 2829
SSACC,R 187888317
ESACC,R 187888317 187888370 54 1876.4 509.9 2182.4 -18.5 9.79 339
SFIX,R 187888371
EFIX,R 187888371 187888747 377 2183.7 -31.3 2733
SSACC,R 187888748
ESACC,R 187888748 187888810 63 2181.4 -34.1 2104.3 659.3 11.16 303
SFIX,R 187888811
EFIX,R 187888811 187889026 216 2092.7 685.8 2931
SSACC,R 187889027
ESACC,R 187889027 187889050 24 2090.4 693.6 1884.9 688.7 3.17 246
SFIX,R 187889051
EFIX,R 187889051 187889486 436 1863.9 689.4 2894
SSACC,R 187889487
ESACC,R 187889487 187889541 55 1860.0 682.7 1920.2 177.5 8.33 273
SFIX,R 187889542
EFIX,R 187889542 187890109 568 1914.4 175.2 2662
SSACC,R 187890110
ESACC,R 187890110 187890167 58 1914.1 184.3 883.3 188.4 16.88 619
SFIX,R 187890168
EFIX,R 187890168 187890297 130 878.4 192.0 2916
SSACC,R 187890298
ESACC,R 187890298 187890314 17 871.0 195.2 805.3 197.0 1.12 109
SFIX,R 187890315
EFIX,R 187890315 187891088 774 783.0 207.5 2373
SSACC,R 187891089
ESACC,R 187891089 187891124 36 773.4 214.1 1092.9 756.8 10.64 568
SFIX,R 187891125
EFIX,R 187891125 187892169 1045 1096.9 760.2 2456
SSACC,R 187892170
ESACC,R 187892170 187892244 75 1092.8 739.4 162.6 825.1 15.26 314
SFIX,R 187892245
EFIX,R 187892245 187892626 382 115.1 828.8 2740
SSACC,R 187892627
SBLINK,R 187892707
EBLINK,R 187892707 187892809 103
ESACC,R 187892627 187892855 229 116.0 826.9 -322.9 444.7 9.09 1035
SFIX,R 187892856
EFIX,R 187892856 187893117 262 -335.4 407.2 2488
SSACC,R 187893118
ESACC,R 187893118 187893188 71 -330.4 409.1 91.3 680.1 7.80 190
SFIX,R 187893189
EFIX,R 187893189 187893583 395 91.0 692.9 2805
SSACC,R 187893584
ESACC,R 187893584 187893612 29 89.2 697.1 128.3 382.2 5.21 410
SFIX,R 187893613
EFIX,R 187893613 187894028 416 129.5 371.9 2717
SSACC,R 187894029
ESACC,R 187894029 187894061 33 134.3 368.7 144.6 894.1 8.57 498
SFIX,R 187894062
EFIX,R 187894062 187894253 192 142.6 926.6 3143
SSACC,R 187894254
ESACC,R 187894254 187894264 11 139.6 926.5 138.1 968.8 0.67 68
SFIX,R 187894265
EFIX,R 187894265 187894632 368 129.0 972.6 2846
SSACC,R 187894633
ESACC,R 187894633 187894687 55 123.7 975.9 559.0 307.9 13.04 550
SFIX,R 187894688
EFIX,R 187894688 187894756 69 593.2 306.5 2621
SSACC,R 187894757
ESACC,R 187894757 187894778 22 591.6 306.1 738.1 246.9 2.68 239
SFIX,R 187894779
EFIX,R 187894779 187894993 215 734.5 238.1 2263
SSACC,R 187894994
ESACC,R 187894994 187895050 57 721.7 236.7 95.9 930.6 15.32 544
SFIX,R 187895051
EFIX,R 187895051 187895227 177 104.5 933.3 2427
SSACC,R 187895228
ESACC,R 187895228 187895243 16 106.6 931.9 105.8 982.4 0.80 103
SFIX,R 187895244
EFIX,R 187895244 187895689 446 112.4 980.5 2542
SSACC,R 187895690
ESACC,R 187895690 187895731 42 122.2 973.3 153.0 373.7 9.75 515
SFIX,R 187895732
EFIX,R 187895732 187896057 326 149.9 367.2 2519
SSACC,R 187896058
SBLINK,R 187896096
EBLINK,R 187896096 187896210 115
ESACC,R 187896058 187896258 201 152.3 364.8 1335.0 1075.5 22.38 1449
SFIX,R 187896259
EFIX,R 187896259 187896598 340 1321.4 1107.6 2772
SSACC,R 187896599
ESACC,R 187896599 187896623 25 1323.1 1104.5 1376.2 1318.5 3.45 277
SFIX,R 187896624
EFIX,R 187896624 187896894 271 1374.0 1309.9 2943
SSACC,R 187896895
ESACC,R 187896895 187896933 39 1376.1 1306.3 1755.0 1203.1 6.17 399
SFIX,R 187896934
EFIX,R 187896934 187897263 330 1750.7 1197.0 3019
SSACC,R 187897264
ESACC,R 187897264 187897274 11 1750.7 1188.1 1774.9 1155.6 0.63 70
SFIX,R 187897275
EFIX,R 187897275 187897709 435 1775.5 1144.1 2974
SSACC,R 187897710
ESACC,R 187897710 187897736 27 1773.6 1148.4 1501.1 1113.3 4.34 338
SFIX,R 187897737
EFIX,R 187897737 187897952 216 1474.6 1113.1 3117
SSACC,R 187897953
ESACC,R 187897953 187897976 24 1472.6 1112.7 1398.4 972.3 2.55 181
SFIX,R 187897977
EFIX,R 187897977 187898836 860 1378.7 977.4 3051
SSACC,R 187898837
ESACC,R 187898837 187898868 32 1377.3 977.5 1420.4 1124.7 2.45 274
SFIX,R 187898869
EFIX,R 187898869 187899125 257 1418.1 1135.4 3044
SSACC,R 187899126
ESACC,R 187899126 187899138 13 1411.7 1131.2 1402.4 1079.9 0.83 72
SFIX,R 187899139
EFIX,R 187899139 187899402 264 1397.3 1075.6 3076
SSACC,R 187899403
ESACC,R 187899403 187899466 64 1397.2 1078.7 858.7 272.5 16.04 485
SFIX,R 187899467
EFIX,R 187899467 187899594 128 838.3 263.8 2971
SSACC,R 187899595
ESACC,R 187899595 187899613 19 832.0 263.9 798.9 205.9 1.14 109
SFIX,R 187899614
EFIX,R 187899614 187900137 524 783.6 215.7 2218
SSACC,R 187900138
ESACC,R 187900138 187900168 31 777.4 220.8 985.1 614.8 7.57 485
SFIX,R 187900169
EFIX,R 187900169 187900504 336 991.8 634.9 2362
SSACC,R 187900505
ESACC,R 187900505 187900536 32 988.6 641.1 1165.9 1093.1 7.98 513
SFIX,R 187900537
EFIX,R 187900537 187900751 215 1171.6 1099.1 2464
SSACC,R 187900752
ESACC,R 187900752 187900770 19 1168.7 1096.0 1243.3 1109.6 1.24 109
SFIX,R 187900771
EFIX,R 187900771 187901131 361 1244.1 1102.6 2774
SSACC,R 187901132
ESACC,R 187901132 187901191 60 1250.8 1104.0 1698.2 1176.7 7.24 199
SFIX,R 187901192
EFIX,R 187901192 187901727 536 1710.6 1207.4 2796
SSACC,R 187901728
ESACC,R 187901728 187901752 25 1707.8 1208.0 1533.7 1118.7 3.08 227
SFIX,R 187901753
EFIX,R 187901753 187902648 896 1511.7 1124.8 2999
SSACC,R 187902649
ESACC,R 187902649 187902729 81 1509.7 1137.6 1502.5 136.3 16.32 391
SFIX,R 187902730
EFIX,R 187902730 187903076 347 1484.5 103.4 2322
SSACC,R 187903077
ESACC,R 187903077 187903098 22 1470.7 105.7 1474.9 -39.2 2.45 211
SFIX,R 187903099
EFIX,R 187903099 187903425 327 1479.5 -48.2 2239
SSACC,R 187903426
ESACC,R 187903426 187903486 61 1478.3 -50.3 1677.2 -255.9 4.73 129
SFIX,R 187903487
EFIX,R 187903487 187903749 263 1676.0 -237.8 2380
SSACC,R 187903750
ESACC,R 187903750 187903792 43 1672.0 -224.5 840.5 190.5 15.47 678
SFIX,R 187903793
EFIX,R 187903793 187903940 148 823.1 207.6 2815
SSACC,R 187903941
ESACC,R 187903941 187903949 9 820.8 215.1 794.3 211.4 0.46 51
SFIX,R 187903950
EFIX,R 187903950 187904796 847 771.8 225.5 2204
SSACC,R 187904797
ESACC,R 187904797 187904834 38 760.6 225.5 1335.7 509.3 10.83 523
SFIX,R 187904835
EFIX,R 187904835 187904989 155 1367.4 550.9 2099
SSACC,R 187904990
ESACC,R 187904990 187904996 7 1373.1 553.7 1392.2 539.1 0.40 53
SFIX,R 187904997
EFIX,R 187904997 187905228 232 1396.2 543.8 2168
SSACC,R 187905229
ESACC,R 187905229 187905288 60 1393.7 542.7 996.7 151.6 9.43 289
SFIX,R 187905289
EFIX,R 187905289 187905514 226 990.8 153.2 2361
SSACC,R 187905515
ESACC,R 187905515 187905542 28 991.1 155.2 1132.1 2.7 3.54 267
SFIX,R 187905543
EFIX,R 187905543 187906111 569 1139.7 -18.4 2537
SSACC,R 187906112
ESACC,R 187906112 187906166 55 1144.7 -25.8 1158.4 -527.4 8.38 246
SFIX,R 187906167
EFIX,R 187906167 187906612 446 1161.1 -542.7 2318
SSACC,R 187906613
SBLINK,R 187906643
EBLINK,R 187906643 187906781 139
ESACC,R 187906613 187906833 221 1161.7 -536.3 1474.3 839.1 23.07 852
SFIX,R 187906834
EFIX,R 187906834 187907843 1010 1447.0 872.3 2837
SSACC,R 187907844
ESACC,R 187907844 187907878 35 1447.7 876.5 1433.9 1098.5 3.58 354
SFIX,R 187907879
EFIX,R 187907879 187907939 61 1434.8 1109.0 2838
SSACC,R 187907940
ESACC,R 187907940 187907950 11 1440.3 1113.8 1460.3 1075.0 0.69 80
SFIX,R 187907951
EFIX,R 187907951 187908477 527 1474.6 1076.8 2827
SSACC,R 187908478
ESACC,R 187908478 187908537 60 1475.7 1073.1 839.8 249.5 17.20 620
SFIX,R 187908538
EFIX,R 187908538 187908668 131 833.0 243.0 2847
SSACC,R 187908669
ESACC,R 187908669 187908677 9 828.8 237.8 809.9 221.9 0.42 51
SFIX,R 187908678
EFIX,R 187908678 187909362 685 779.5 222.5 2170
SSACC,R 187909363
ESACC,R 187909363 187909400 38 770.1 222.6 1187.8 242.2 7.10 322
SFIX,R 187909401
EFIX,R 187909401 187909489 89 1204.7 249.6 2057
SSACC,R 187909490
ESACC,R 187909490 187909508 19 1205.5 246.4 1276.6 229.4 1.24 119
SFIX,R 187909509
EFIX,R 187909509 187910495 987 1291.9 226.9 2426
SSACC,R 187910496
ESACC,R 187910496 187910577 82 1289.6 232.7 1701.5 727.6 10.70 186
SFIX,R 187910578
EFIX,R 187910578 187910897 320 1722.9 781.7 2260
SSACC,R 187910898
ESACC,R 187910898 187910954 57 1725.4 778.4 1918.8 127.6 11.09 313
SFIX,R 187910955
EFIX,R 187910955 187911554 600 1921.3 93.5 2281
SSACC,R 187911555
ESACC,R 187911555 187911583 29 1921.6 85.1 2133.6 -154.6 5.09 371
SFIX,R 187911584
EFIX,R 187911584 187912039 456 2141.9 -159.3 2162
SSACC,R 187912040
ESACC,R 187912040 187912102 63 2142.4 -156.0 2144.0 583.5 11.84 353
SFIX,R 187912103
EFIX,R 187912103 187912424 322 2138.3 608.8 2662
SSACC,R 187912425
ESACC,R 187912425 187912439 15 2138.4 628.0 2137.9 606.1 0.35 63
SFIX,R 187912440
EFIX,R 187912440 187912926 487 2134.5 608.4 2634
SSACC,R 187912927
ESACC,R 187912927 187913028 102 2132.7 606.9 1353.5 237.1 13.82 224
SFIX,R 187913029
EFIX,R 187913029 187913162 134 1346.8 239.9 2705
SSACC,R 187913163
ESACC,R 187913163 187913197 35 1341.1 243.4 831.6 211.1 8.65 479
SFIX,R 187913198
EFIX,R 187913198 187914138 941 783.8 217.4 2253
SSACC,R 187914139
ESACC,R 187914139 187914165 27 766.8 214.0 961.4 418.3 4.81 349
SFIX,R 187914166
EFIX,R 187914166 187915361 1196 970.4 434.4 2327
SSACC,R 187915362
ESACC,R 187915362 187915461 100 975.8 438.9 1563.5 383.3 9.88 142
SFIX,R 187915462
EFIX,R 187915462 187916088 627 1639.7 381.7 2161
SSACC,R 187916089
ESACC,R 187916089 187916148 60 1636.7 376.7 2065.7 0.2 9.21 215
SFIX,R 187916149
EFIX,R 187916149 187916425 277 2110.4 -23.3 1940
SSACC,R 187916426
ESACC,R 187916426 187916496 71 2108.8 -29.8 1745.0 62.1 5.90 135
SFIX,R 187916497
EFIX,R 187916497 187916740 244 1719.3 58.9 2195
SSACC,R 187916741
ESACC,R 187916741 187916804 64 1718.1 59.5 769.1 -365.5 17.17 477
SFIX,R 187916805
EFIX,R 187916805 187916950 146 736.6 -364.6 2313
SSACC,R 187916951
ESACC,R 187916951 187916983 33 722.8 -368.7 411.6 -755.7 8.06 633
SFIX,R 187916984
EFIX,R 187916984 187917191 208 381.3 -751.8 1991
SSACC,R 187917192
ESACC,R 187917192 187917272 81 388.1 -739.0 303.6 399.7 18.54 614
SFIX,R 187917273
EFIX,R 187917273 187917444 172 286.3 451.5 2464
SSACC,R 187917445
ESACC,R 187917445 187917466 22 289.5 446.5 148.7 366.4 2.65 234
SFIX,R 187917467
EFIX,R 187917467 187917823 357 132.5 360.7 2297
SSACC,R 187917824
ESACC,R 187917824 187917863 40 153.1 362.9 771.2 223.3 10.49 656
SFIX,R 187917864
EFIX,R 187917864 187918828 965 774.5 223.0 2256
SSACC,R 187918829
ESACC,R 187918829 187918858 30 765.7 224.3 977.1 489.5 5.78 385
SFIX,R 187918859
EFIX,R 187918859 187919015 157 990.7 517.4 2229
SSACC,R 187919016
ESACC,R 187919016 187919023 8 990.8 524.9 984.7 545.7 0.37 48
SFIX,R 187919024
EFIX,R 187919024 187919842 819 985.6 545.8 2414
SSACC,R 187919843
SBLINK,R 187919881
EBLINK,R 187919881 187920026 146
ESACC,R 187919843 187920084 242 990.1 549.4 300.3 1144.2 14.88 554
SFIX,R 187920085
EFIX,R 187920085 187920184 100 293.9 1098.0 2457
SSACC,R 187920185
ESACC,R 187920185 187920209 25 294.5 1100.0 123.2 988.4 3.22 260
SFIX,R 187920210
EFIX,R 187920210 187920516 307 122.6 979.9 2580
SSACC,R 187920517
ESACC,R 187920517 187920590 74 125.5 968.2 1127.2 1229.8 16.52 412
SFIX,R 187920591
EFIX,R 187920591 187921119 529 1128.0 1223.0 2919
SSACC,R 187921120
ESACC,R 187921120 187921153 34 1128.1 1224.5 828.9 1657.6 8.06 460
SFIX,R 187921154
EFIX,R 187921154 187921453 300 812.3 1673.0 3085
SSACC,R 187921454
ESACC,R 187921454 187921487 34 807.9 1671.3 1171.8 1762.5 5.78 367
SFIX,R 187921488
EFIX,R 187921488 187921899 412 1184.4 1767.4 3181
SSACC,R 187921900
ESACC,R 187921900 187921930 31 1182.2 1765.1 1469.7 1973.6 5.19 328
SFIX,R 187921931
EFIX,R 187921931 187922132 202 1491.8 1971.8 3206
SSACC,R 187922133
ESACC,R 187922133 187922204 72 1493.8 1977.9 1154.4 878.2 17.01 505
SFIX,R 187922205
EFIX,R 187922205 187922493 289 1141.2 872.8 2904
SSACC,R 187922494
ESACC,R 187922494 187922549 56 1135.4 891.0 734.9 179.8 13.69 551
SFIX,R 187922550
EFIX,R 187922550 187922644 95 726.3 185.4 2365
SSACC,R 187922645
ESACC,R 187922645 187922655 11 723.7 186.9 756.8 200.8 0.61 64
SFIX,R 187922656
EFIX,R 187922656 187923319 664 762.9 218.6 1969
SSACC,R 187923320
ESACC,R 187923320 187923356 37 763.0 210.3 1255.6 327.6 8.58 482
SFIX,R 187923357
EFIX,R 187923357 187924707 1351 1276.9 351.8 2258
SSACC,R 187924708
ESACC,R 187924708 187924786 79 1280.1 366.8 1023.9 1148.6 13.54 299
SFIX,R 187924787
EFIX,R 187924787 187925198 412 1010.2 1168.0 2509
SSACC,R 187925199
ESACC,R 187925199 187925237 39 1013.3 1157.1 1525.6 1291.1 8.50 447
SFIX,R 187925238
EFIX,R 187925238 187925801 564 1530.0 1283.0 2746
SSACC,R 187925802
ESACC,R 187925802 187925827 26 1532.5 1275.4 1476.0 1133.1 2.39 185
SFIX,R 187925828
EFIX,R 187925828 187926689 862 1478.6 1129.0 2998
SSACC,R 187926690
ESACC,R 187926690 187926726 37 1472.7 1132.6 1938.8 1299.3 7.68 391
SFIX,R 187926727
EFIX,R 187926727 187926890 164 1974.5 1344.2 2728
SSACC,R 187926891
ESACC,R 187926891 187926920 30 1975.1 1350.2 1837.2 1240.0 2.66 117
SFIX,R 187926921
EFIX,R 187926921 187927161 241 1820.4 1221.6 2733
SSACC,R 187927162
ESACC,R 187927162 187927249 88 1818.7 1227.9 855.3 209.5 22.65 590
SFIX,R 187927250
EFIX,R 187927250 187927396 147 838.3 210.2 2704
SSACC,R 187927397
ESACC,R 187927397 187927409 13 830.4 211.2 787.1 208.3 0.74 67
SFIX,R 187927410
EFIX,R 187927410 187928219 810 770.1 217.7 2034
SSACC,R 187928220
ESACC,R 187928220 187928253 34 756.7 224.3 938.2 709.5 8.78 494
SFIX,R 187928254
EFIX,R 187928254 187929246 993 972.7 743.1 2458
SSACC,R 187929247
ESACC,R 187929247 187929324 78 983.6 741.7 1430.8 755.2 7.46 179
SFIX,R 187929325
EFIX,R 187929325 187931666 2342 1481.0 766.2 2517
SSACC,R 187931667
ESACC,R 187931667 187931695 29 1482.6 772.6 1481.6 1096.3 5.23 384
SFIX,R 187931696
EFIX,R 187931696 187931929 234 1478.7 1118.4 2504
SSACC,R 187931930
ESACC,R 187931930 187931998 69 1477.3 1114.8 865.1 331.5 16.37 417
SFIX,R 187931999
EFIX,R 187931999 187932157 159 820.8 307.0 2513
SSACC,R 187932158
ESACC,R 187932158 187932176 19 818.7 300.5 798.3 228.7 1.28 118
SFIX,R 187932177
EFIX,R 187932177 187932924 748 784.2 233.4 2283
SSACC,R 187932925
ESACC,R 187932925 187932944 20 774.1 234.9 876.9 218.7 1.77 155
SFIX,R 187932945
EFIX,R 187932945 187933452 508 882.9 223.7 2396
SSACC,R 187933453
ESACC,R 187933453 187933547 95 892.6 231.2 1335.9 976.8 14.46 277
SFIX,R 187933548
EFIX,R 187933548 187933946 399 1339.1 988.0 2525
SSACC,R 187933947
ESACC,R 187933947 187933974 28 1338.8 984.2 1502.5 1161.2 3.87 268
SFIX,R 187933975
EFIX,R 187933975 187934360 386 1526.2 1180.1 2734
SSACC,R 187934361
ESACC,R 187934361 187934376 16 1529.7 1164.9 1507.3 1120.8 0.78 84
SFIX,R 187934377
EFIX,R 187934377 187935356 980 1514.0 1090.5 3014
SSACC,R 187935357
ESACC,R 187935357 187935374 18 1540.9 1088.6 1497.5 1126.0 0.91 73
SFIX,R 187935375
EFIX,R 187935375 187935620 246 1490.7 1133.8 2996
SSACC,R 187935621
ESACC,R 187935621 187935642 22 1488.6 1142.6 1424.1 1093.3 1.30 79
SFIX,R 187935643
EFIX,R 187935643 187935735 93 1364.5 1077.8 2969
SSACC,R 187935736
ESACC,R 187935736 187935748 13 1343.8 1079.3 1297.4 1077.0 0.76 70
SFIX,R 187935749
EFIX,R 187935749 187936076 328 1229.5 1061.5 2987
SSACC,R 187936077
ESACC,R 187936077 187936107 31 1224.3 1060.2 1469.0 1109.0 4.05 211
SFIX,R 187936108
EFIX,R 187936108 187936356 249 1480.8 1129.4 2902
SSACC,R 187936357
SBLINK,R 187936409
EBLINK,R 187936409 187936799 391
ESACC,R 187936357 187936878 522 1485.3 1124.4 1563.5 1039.3 1.84 816
SFIX,R 187936879
EFIX,R 187936879 187939241 2363 1556.8 1050.5 2883
SSACC,R 187939242
ESACC,R 187939242 187939266 25 1559.7 1055.7 1599.1 965.0 1.58 116
SFIX,R 187939267
EFIX,R 187939267 187939392 126 1724.3 869.1 2916
SSACC,R 187939393
ESACC,R 187939393 187939411 19 1773.6 837.1 1830.0 823.3 0.92 58
SFIX,R 187939412
EFIX,R 187939412 187940450 1039 1871.1 814.3 2699
SSACC,R 187940451
ESACC,R 187940451 187940510 60 1871.7 808.9 2142.6 883.6 4.30 100
SFIX,R 187940511
EFIX,R 187940511 187940586 76 2202.9 834.3 2660
SSACC,R 187940587
ESACC,R 187940587 187940725 139 2211.3 830.4 1676.6 1200.8 9.96 269
SFIX,R 187940726
EFIX,R 187940726 187940882 157 1667.6 1201.5 2837
SSACC,R 187940883
ESACC,R 187940883 187940896 14 1668.5 1201.8 1673.7 1150.9 0.79 88
SFIX,R 187940897
EFIX,R 187940897 187940976 80 1702.3 1104.4 2869
SSACC,R 187940977
ESACC,R 187940977 187940995 19 1719.3 1093.2 1779.2 1112.6 0.99 65
SFIX,R 187940996
EFIX,R 187940996 187941637 642 1849.1 1144.1 2846
SSACC,R 187941638
ESACC,R 187941638 187941652 15 1848.8 1141.0 1795.9 1166.8 0.91 87
SFIX,R 187941653
EFIX,R 187941653 187941987 335 1780.7 1178.1 2965
SSACC,R 187941988
ESACC,R 187941988 187942013 26 1781.1 1180.2 1640.7 1343.3 3.31 256
SFIX,R 187942014
EFIX,R 187942014 187942462 449 1624.0 1355.5 3072
SSACC,R 187942463
ESACC,R 187942463 187942484 22 1623.2 1357.6 1568.6 1264.9 1.65 112
SFIX,R 187942485
EFIX,R 187942485 187942527 43 1543.6 1247.6 3118
SSACC,R 187942528
ESACC,R 187942528 187942545 18 1532.3 1242.1 1469.7 1270.5 1.09 78
SFIX,R 187942546
EFIX,R 187942546 187943334 789 1440.7 1271.4 3138
SSACC,R 187943335
ESACC,R 187943335 187943362 28 1437.8 1271.0 1182.3 1351.2 4.27 291
SFIX,R 187943363
EFIX,R 187943363 187943451 89 1130.9 1341.9 3148
SSACC,R 187943452
ESACC,R 187943452 187943474 23 1123.4 1339.3 1171.1 1293.1 1.05 82
SFIX,R 187943475
EFIX,R 187943475 187943517 43 1181.4 1258.0 3088
SSACC,R 187943518
SBLINK,R 187943540
EBLINK,R 187943540 187943886 347
ESACC,R 187943518 187943938 421 1184.9 1227.6 1128.8 1492.6 4.14 834
SFIX,R 187943939
EFIX,R 187943939 187944011 73 1121.8 1446.1 2172
SSACC,R 187944012
ESACC,R 187944012 187944210 199 1124.7 1397.7 1544.0 1122.5 7.94 436
SFIX,R 187944211
EFIX,R 187944211 187944383 173 1538.7 1080.6 2998
SSACC,R 187944384
ESACC,R 187944384 187944398 15 1529.9 1077.4 1516.6 1040.5 0.62 57
SFIX,R 187944399
EFIX,R 187944399 187945619 1221 1499.5 1063.5 3071
SSACC,R 187945620
ESACC,R 187945620 187945638 19 1500.2 1058.7 1495.0 974.8 1.35 110
SFIX,R 187945639
EFIX,R 187945639 187945682 44 1496.6 937.6 2764
SSACC,R 187945683
SBLINK,R 187945877
EBLINK,R 187945877 187951689 5813
ESACC,R 187945683 187951725 6043 1503.4 917.3 1407.5 819.9 2.23 218
SFIX,R 187951726
EFIX,R 187951726 187954301 2576 1419.0 542.6 3004
SSACC,R 187954302
SBLINK,R 187954319
EBLINK,R 187954319 187954564 246
ESACC,R 187954302 187954613 312 1406.9 568.2 1803.3 487.6 6.60 402
SFIX,R 187954614
EFIX,R 187954614 187955672 1059 1795.6 505.3 2670
SSACC,R 187955673
ESACC,R 187955673 187955730 58 1790.9 493.0 2004.3 -75.1 9.91 352
SFIX,R 187955731
EFIX,R 187955731 187956210 480 2009.1 -91.8 2391
SSACC,R 187956211
ESACC,R 187956211 187956231 21 2011.9 -90.4 1885.6 -31.7 2.20 199
SFIX,R 187956232
EFIX,R 187956232 187957140 909 1861.0 -13.2 2638
SSACC,R 187957141
ESACC,R 187957141 187957199 59 1866.5 -4.5 2062.8 580.3 10.01 355
SFIX,R 187957200
EFIX,R 187957200 187957516 317 2063.8 595.6 2695
SSACC,R 187957517
ESACC,R 187957517 187957538 22 2063.4 593.8 1914.7 640.3 2.42 202
SFIX,R 187957539
EFIX,R 187957539 187957815 277 1885.4 643.6 2748
SSACC,R 187957816
SBLINK,R 187957847
EBLINK,R 187957847 187958017 171
ESACC,R 187957816 187958092 277 1878.8 677.3 1904.5 855.8 2.90 693
SFIX,R 187958093
EFIX,R 187958093 187958210 118 1901.6 764.5 2851
SSACC,R 187958211
ESACC,R 187958211 187958237 27 1893.3 790.1 1817.9 945.1 2.74 187
SFIX,R 187958238
EFIX,R 187958238 187958938 701 1805.1 949.6 2962
SSACC,R 187958939
ESACC,R 187958939 187958974 36 1811.3 949.6 1914.0 1175.4 3.86 185
SFIX,R 187958975
EFIX,R 187958975 187959358 384 1919.6 1210.3 3044
SSACC,R 187959359
ESACC,R 187959359 187959378 20 1923.1 1206.8 1898.6 1075.1 2.06 164
SFIX,R 187959379
EFIX,R 187959379 187959881 503 1893.6 1046.6 3062
SSACC,R 187959882
ESACC,R 187959882 187959896 15 1893.0 1040.4 1938.9 1070.9 0.85 64
SFIX,R 187959897
EFIX,R 187959897 187960108 212 1934.1 1083.9 3121
SSACC,R 187960109
ESACC,R 187960109 187960119 11 1934.0 1079.1 1932.5 1081.4 0.04 43
SFIX,R 187960120
EFIX,R 187960120 187960241 122 1932.3 1084.9 3081
SSACC,R 187960242
ESACC,R 187960242 187960256 15 1934.3 1079.3 1938.9 1001.8 1.21 102
SFIX,R 187960257
EFIX,R 187960257 187961194 938 1935.6 989.2 3058
SSACC,R 187961195
ESACC,R 187961195 187961226 32 1936.3 988.2 1858.5 753.1 3.93 209
SFIX,R 187961227
EFIX,R 187961227 187961440 214 1856.1 757.5 2842
SSACC,R 187961441
ESACC,R 187961441 187961638 198 1854.0 765.2 2281.1 941.7 7.01 272
SFIX,R 187961639
EFIX,R 187961639 187961870 232 2279.9 944.5 2987
SSACC,R 187961871
