event_type,fields
ESACC,R 186283001 186283072 72 930.9 36.2 1656.3 229.1 12.53 309
SFIX,R 186283073
EFIX,R 186283073 186283352 280 1650.2 233.7 2819
SSACC,R 186283353
ESACC,R 186283353 186283407 55 1645.8 236.3 1506.9 1167.3 15.26 534
SFIX,R 186283408
EFIX,R 186283408 186283800 393 1495.4 1189.5 3050
SSACC,R 186283801
ESACC,R 186283801 186283828 28 1496.2 1204.3 1686.3 1297.9 3.32 242
SFIX,R 186283829
EFIX,R 186283829 186284039 211 1676.6 1292.9 2924
SSACC,R 186284040
ESACC,R 186284040 186284062 23 1666.8 1299.0 1603.5 1150.2 2.50 193
SFIX,R 186284063
EFIX,R 186284063 186284496 434 1580.2 1134.5 3153
SSACC,R 186284497
ESACC,R 186284497 186284512 16 1576.1 1140.2 1514.2 1118.0 1.05 87
SFIX,R 186284513
EFIX,R 186284513 186285471 959 1497.8 1122.6 3113
SSACC,R 186285472
ESACC,R 186285472 186285490 19 1498.1 1174.5 1498.8 1281.4 1.66 122
SFIX,R 186285491
EFIX,R 186285491 186285695 205 1494.6 1270.3 2319
SSACC,R 186285696
ESACC,R 186285696 186285712 17 1493.7 1265.1 1488.9 1188.3 1.19 98
SFIX,R 186285713
EFIX,R 186285713 186286358 646 1486.5 1174.9 2716
SSACC,R 186286359
ESACC,R 186286359 186286388 30 1489.0 1172.6 1555.4 947.0 3.74 190
SFIX,R 186286389
EFIX,R 186286389 186287624 1236 1570.2 928.4 2308
SSACC,R 186287625
ESACC,R 186287625 186287679 55 1561.8 927.9 1058.6 185.9 14.90 621
SFIX,R 186287680
EFIX,R 186287680 186287782 103 1057.8 187.6 2262
SSACC,R 186287783
ESACC,R 186287783 186287799 17 1057.9 183.5 1097.5 231.7 1.07 95
SFIX,R 186287800
EFIX,R 186287800 186288527 728 1083.4 247.4 2004
SSACC,R 186288528
ESACC,R 186288528 186288593 66 1079.2 258.0 1166.9 984.9 12.21 311
SFIX,R 186288594
EFIX,R 186288594 186288915 322 1169.2 982.0 2562
SSACC,R 186288916
ESACC,R 186288916 186288940 25 1167.7 980.2 1236.7 1149.5 2.94 246
SFIX,R 186288941
EFIX,R 186288941 186289768 828 1239.0 1133.0 2748
SSACC,R 186289769
ESACC,R 186289769 186289794 26 1240.2 1123.7 1468.2 1191.2 3.83 281
SFIX,R 186289795
EFIX,R 186289795 186290097 303 1511.5 1202.1 2821
SSACC,R 186290098
ESACC,R 186290098 186290111 14 1515.0 1203.2 1528.2 1162.1 0.67 72
SFIX,R 186290112
EFIX,R 186290112 186290516 405 1534.0 1172.2 2800
SSACC,R 186290517
SBLINK,R 186290544
EBLINK,R 186290544 186290729 186
ESACC,R 186290517 186290817 301 1532.8 1162.4 2055.7 478.8 13.62 822
SFIX,R 186290818
EFIX,R 186290818 186291656 839 2042.8 505.6 2325
SSACC,R 186291657
ESACC,R 186291657 186291720 64 2040.3 521.1 834.0 245.0 20.02 577
SFIX,R 186291721
EFIX,R 186291721 186291854 134 826.6 251.2 2569
SSACC,R 186291855
ESACC,R 186291855 186291866 12 811.1 260.0 778.8 254.6 0.56 60
SFIX,R 186291867
EFIX,R 186291867 186292389 523 750.9 257.4 2006
SSACC,R 186292390
ESACC,R 186292390 186292424 35 749.0 257.6 1352.8 558.5 11.39 645
SFIX,R 186292425
EFIX,R 186292425 186292584 160 1370.3 576.9 1983
SSACC,R 186292585
ESACC,R 186292585 186292590 6 1374.3 577.7 1391.6 576.8 0.29 45
SFIX,R 186292591
EFIX,R 186292591 186293785 1195 1390.1 571.1 2328
SSACC,R 186293786
ESACC,R 186293786 186293855 70 1384.4 575.0 1876.9 992.9 10.42 280
SFIX,R 186293856
EFIX,R 186293856 186294572 717 1878.9 995.1 2317
SSACC,R 186294573
SBLINK,R 186294636
EBLINK,R 186294636 186294794 159
ESACC,R 186294573 186294866 294 1877.7 976.4 1855.3 447.7 8.53 942
SFIX,R 186294867
EFIX,R 186294867 186295401 535 1845.6 485.4 2220
SSACC,R 186295402
ESACC,R 186295402 186295444 43 1843.8 482.9 2004.5 -3.7 8.37 417
SFIX,R 186295445
EFIX,R 186295445 186295955 511 2008.1 -35.3 2122
SSACC,R 186295956
ESACC,R 186295956 186296027 72 2003.1 -38.9 995.1 204.4 16.86 450
SFIX,R 186296028
EFIX,R 186296028 186296052 25 994.1 206.4 2546
