event_type,fields
EFIX,R 100975830 100976042 213 689.4 -5.4 2468
SSACC,R 100976043
ESACC,R 100976043 100976053 11 693.0 -6.4 723.5 -7.7 0.52 54
SFIX,R 100976054
EFIX,R 100976054 100976993 940 736.8 -7.4 2124
SSACC,R 100976994
ESACC,R 100976994 100977011 18 743.3 -1.6 789.4 5.3 0.79 53
SFIX,R 100977012
EFIX,R 100977012 100977513 502 832.4 14.0 2143
SSACC,R 100977514
ESACC,R 100977514 100977543 30 834.2 12.7 592.9 -10.4 4.10 223
SFIX,R 100977544
EFIX,R 100977544 100977870 327 570.5 -8.5 1829
SSACC,R 100977871
ESACC,R 100977871 100977903 33 567.5 -8.7 557.4 257.1 4.52 200
SFIX,R 100977904
EFIX,R 100977904 100978132 229 555.4 299.3 1620
SSACC,R 100978133
ESACC,R 100978133 100978142 10 560.0 298.7 586.4 310.0 0.48 54
SFIX,R 100978143
EFIX,R 100978143 100978343 201 590.6 309.3 1890
SSACC,R 100978344
ESACC,R 100978344 100978370 27 591.2 306.2 395.8 293.6 3.27 214
SFIX,R 100978371
EFIX,R 100978371 100979495 1125 382.9 287.4 2636
SSACC,R 100979496
ESACC,R 100979496 100979534 39 392.9 285.4 749.5 290.8 5.98 254
SFIX,R 100979535
EFIX,R 100979535 100979856 322 752.9 293.4 2451
SSACC,R 100979857
ESACC,R 100979857 100979867 11 754.2 292.9 787.5 306.9 0.61 66
SFIX,R 100979868
EFIX,R 100979868 100980505 638 794.0 311.9 2573
SSACC,R 100980506
ESACC,R 100980506 100980518 13 795.3 312.8 815.0 348.0 0.69 70
SFIX,R 100980519
EFIX,R 100980519 100981654 1136 808.3 344.3 2671
SSACC,R 100981655
ESACC,R 100981655 100981662 8 806.2 341.0 805.6 318.0 0.39 51
SFIX,R 100981663
EFIX,R 100981663 100982410 748 803.6 317.5 2695
SSACC,R 100982411
SBLINK,R 100982430
EBLINK,R 100982430 100982659 230
ESACC,R 100982411 100982700 290 803.6 320.5 530.9 340.9 4.62 418
SFIX,R 100982701
EFIX,R 100982701 100982907 207 535.5 257.4 2516
SSACC,R 100982908
ESACC,R 100982908 100982930 23 533.9 257.8 403.4 288.9 2.24 148
SFIX,R 100982931
EFIX,R 100982931 100984276 1346 388.9 283.5 2802
SSACC,R 100984277
ESACC,R 100984277 100984317 41 388.2 284.8 712.9 293.5 5.44 192
SFIX,R 100984318
EFIX,R 100984318 100985121 804 784.7 314.8 2512
SSACC,R 100985122
ESACC,R 100985122 100985150 29 782.6 309.4 572.7 288.4 3.56 198
SFIX,R 100985151
EFIX,R 100985151 100985338 188 559.4 285.3 3075
SSACC,R 100985339
ESACC,R 100985339 100985347 9 560.9 284.1 581.1 280.3 0.35 44
SFIX,R 100985348
EFIX,R 100985348 100985680 333 587.6 281.4 3048
SSACC,R 100985681
ESACC,R 100985681 100985708 28 588.7 282.1 422.7 280.9 2.78 158
SFIX,R 100985709
EFIX,R 100985709 100986758 1050 409.6 273.3 3031
SSACC,R 100986759
ESACC,R 100986759 100986793 35 401.6 253.9 222.4 545.9 5.70 272
SFIX,R 100986794
EFIX,R 100986794 100987201 408 194.6 554.3 2917
SSACC,R 100987202
SBLINK,R 100987226
EBLINK,R 100987226 100987374 149
ESACC,R 100987202 100987420 219 183.6 534.9 241.8 218.7 5.35 226
SFIX,R 100987421
EFIX,R 100987421 100988190 770 236.6 217.3 3062
SSACC,R 100988191
ESACC,R 100988191 100988224 34 236.8 216.6 558.1 274.8 5.41 282
SFIX,R 100988225
EFIX,R 100988225 100988951 727 571.8 282.3 2985
SSACC,R 100988952
ESACC,R 100988952 100988960 9 574.2 278.6 592.6 272.6 0.33 41
SFIX,R 100988961
EFIX,R 100988961 100989262 302 600.5 273.8 3040
SSACC,R 100989263
ESACC,R 100989263 100989288 26 598.6 275.0 767.9 275.4 2.86 174
SFIX,R 100989289
EFIX,R 100989289 100990048 760 796.9 268.9 2853
SSACC,R 100990049
ESACC,R 100990049 100990061 13 797.1 271.6 812.2 316.3 0.81 80
SFIX,R 100990062
EFIX,R 100990062 100990846 785 806.8 317.6 2840
SSACC,R 100990847
ESACC,R 100990847 100990861 15 804.6 317.9 787.9 267.3 0.91 84
SFIX,R 100990862
EFIX,R 100990862 100991096 235 791.0 270.4 2780
SSACC,R 100991097
ESACC,R 100991097 100991140 44 791.3 271.5 454.6 -3.7 7.35 286
SFIX,R 100991141
EFIX,R 100991141 100991282 142 438.8 -20.1 2906
SSACC,R 100991283
ESACC,R 100991283 100991290 8 434.4 -21.7 415.8 -30.0 0.34 45
SFIX,R 100991291
EFIX,R 100991291 100991947 657 401.1 -28.3 1687
SSACC,R 100991948
ESACC,R 100991948 100991968 21 396.7 -27.3 468.4 36.4 1.61 113
SFIX,R 100991969
EFIX,R 100991969 100992449 481 469.8 39.3 1672
SSACC,R 100992450
ESACC,R 100992450 100992475 26 472.2 38.4 480.6 192.4 2.62 134
SFIX,R 100992476
EFIX,R 100992476 100992744 269 491.3 259.6 2254
SSACC,R 100992745
ESACC,R 100992745 100992757 13 494.4 265.1 535.1 253.7 0.71 68
SFIX,R 100992758
EFIX,R 100992758 100993280 523 540.4 243.5 2574
SSACC,R 100993281
SBLINK,R 100993300
EBLINK,R 100993300 100993440 141
ESACC,R 100993281 100993486 206 544.0 236.5 768.3 288.2 3.89 445
SFIX,R 100993487
EFIX,R 100993487 100993823 337 775.4 224.0 2450
SSACC,R 100993824
ESACC,R 100993824 100993835 12 770.8 234.4 754.9 264.8 0.59 59
SFIX,R 100993836
EFIX,R 100993836 100994049 214 755.7 268.6 2605
SSACC,R 100994050
ESACC,R 100994050 100994077 28 758.5 267.1 574.1 266.2 3.12 187
SFIX,R 100994078
EFIX,R 100994078 100994826 749 560.1 264.6 2978
SSACC,R 100994827
ESACC,R 100994827 100994839 13 560.4 265.4 601.0 277.3 0.71 69
SFIX,R 100994840
EFIX,R 100994840 100995024 185 601.9 283.1 2882
SSACC,R 100995025
ESACC,R 100995025 100995041 17 599.9 285.2 668.5 275.9 1.17 104
